Title,Company,Location,Link
Business Data Analyst,"V-Soft Consulting Group, Inc.","Richmond, VA",https://www.linkedin.com/jobs/view/business-data-analyst-at-v-soft-consulting-group-inc-4139907050?position=1&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=7IHiqzcjFP1XZgUA2MZiRQ%3D%3D
Data Analyst,STAND 8 Technology Consulting,"Long Beach, CA",https://www.linkedin.com/jobs/view/data-analyst-at-stand-8-technology-consulting-4183870994?position=2&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=7Z8QwnTrwYV9t57l8WHjqQ%3D%3D
Business Data Analyst - POSSIBLE SHORT TERM,"V-Soft Consulting Group, Inc.","Richmond, VA",https://www.linkedin.com/jobs/view/business-data-analyst-possible-short-term-at-v-soft-consulting-group-inc-4170318296?position=3&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=1ln0VS8%2BEtpUF6MngoN6Zg%3D%3D
Sr. Reporting Analyst,Firstsource,United States,https://www.linkedin.com/jobs/view/sr-reporting-analyst-at-firstsource-4182647856?position=4&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=1Z%2F69G1kDsqvC5mg6oH1uA%3D%3D
Data Analyst,Radiant System,"Northeast Saint Louis, MN",https://www.linkedin.com/jobs/view/data-analyst-at-radiant-system-4174856799?position=5&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=ip1FZ6T%2FESGVeUTxSyl6bg%3D%3D
Data Analyst,Radiant,"St. Louis County, MN",https://www.linkedin.com/jobs/view/data-analyst-at-radiant-4177905370?position=6&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=47NvsHOAsH8wZAjdRNXHiw%3D%3D
Senior Data Analyst,R Systems,"Las Vegas, NV",https://www.linkedin.com/jobs/view/senior-data-analyst-at-r-systems-4159662520?position=7&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=p0cDYUBK3dwBsUjXnq0PfA%3D%3D
Data Analytics Intern,Four Hands,"Austin, TX",https://www.linkedin.com/jobs/view/data-analytics-intern-at-four-hands-4139380722?position=8&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=hCyLVjl5u7rFw7Rw2PiHWQ%3D%3D
Data Governance Analyst,"V-Soft Consulting Group, Inc.","Atlanta, GA",https://www.linkedin.com/jobs/view/data-governance-analyst-at-v-soft-consulting-group-inc-4119109565?position=9&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=cDYnfJCsjLAzOV3hLyHxLw%3D%3D
Data Analyst (Contract),Macmillan,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-contract-at-macmillan-4165791385?position=10&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=SM603ax8uppnvSpPrMAbLA%3D%3D
